fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
"Jan 4, 2025",0518210,0528182,0512778,0523265,0523265,5163695
"Jan 3, 2025",0482731,0521580,0480109,0518211,0518211,6055402
"Jan 2, 2025",0473435,0493669,0472350,0482731,0482731,6527970
"Jan 1, 2025",0450546,0476375,0445932,0473435,0473435,5955693
"Dec 31, 2024",0460189,0473826,0449916,0450546,0450546,4898638
"Dec 30, 2024",0465142,0475470,0450649,0460188,0460188,5760321
"Dec 29, 2024",0487737,0488023,0462071,0465149,0465149,3321806
"Dec 28, 2024",0477876,0489933,0473755,0487736,0487736,3521267
"Dec 27, 2024",0475557,0498371,0472757,0477876,0477876,4465258
"Dec 26, 2024",0514219,0516737,0472097,0475557,0475557,3847273
"Dec 25, 2024",0527823,0527833,0506939,0514219,0514219,4204441
"Dec 24, 2024",0500331,0531857,0491087,0527823,0527823,10703494
"Dec 23, 2024",0472876,0504581,0462722,0500331,0500331,6174368
"Dec 22, 2024",0471335,0488767,0461654,0472876,0472876,4391299
"Dec 21, 2024",0498193,0522331,0465552,0471335,0471335,5340573
"Dec 20, 2024",0476795,0503120,0414517,0498188,0498188,10214424
"Dec 19, 2024",0516694,0526357,0462061,0476822,0476822,12233016
"Dec 18, 2024",0564821,0566800,0497104,0516692,0516692,9438377
"Dec 17, 2024",0592542,0597938,0559644,0564821,0564821,8395348
"Dec 16, 2024",0615137,0623369,0586080,0592542,0592542,10313742
"Dec 15, 2024",0601159,0617521,0584578,0615106,0615106,5645556
"Dec 14, 2024",0619229,0627363,0586058,0601159,0601159,5645357
"Dec 13, 2024",0623355,0628369,0609391,0619229,0619229,7774956
"Dec 12, 2024",0629764,0667349,0616726,0623355,0623355,15730431
"Dec 11, 2024",0581005,0635139,0557489,0629531,0629531,14522816
"Dec 10, 2024",0584266,0602382,0529347,0580961,0580961,19100451
"Dec 9, 2024",0703819,0703819,0524615,0584279,0584279,26990818
"Dec 8, 2024",0700648,0705922,0680681,0704114,0704114,10195311
"Dec 7, 2024",0714850,0716748,0697006,0701052,0701052,10598196
"Dec 6, 2024",0682060,0723792,0665050,0714850,0714850,20530122
"Dec 5, 2024",0708701,0721209,0671249,0687570,0687570,28718606
"Dec 4, 2024",0704645,0749057,0699686,0708701,0708701,28738786
"Dec 3, 2024",0650944,0762398,0645097,0704645,0704645,56735669
"Dec 2, 2024",0602884,0650944,0572902,0650944,0650944,38296501
"Dec 1, 2024",0598562,0609484,0580008,0602881,0602881,14211341
"Nov 30, 2024",0583780,0616371,0573576,0598571,0598571,15353804
"Nov 29, 2024",0563308,0586283,0557973,0583780,0583780,11435648
"Nov 28, 2024",0580473,0580534,0547917,0563308,0563308,9047890
"Nov 27, 2024",0528164,0582107,0517375,0580471,0580471,14268720
"Nov 26, 2024",0546418,0561875,0498592,0528164,0528164,14266655
"Nov 25, 2024",0572730,0614348,0541068,0546460,0546460,21710882
"Nov 24, 2024",0568216,0598433,0525173,0572730,0572730,22469241
"Nov 23, 2024",0492749,0606237,0490579,0568149,0568149,51346125
"Nov 22, 2024",0452499,0492746,0446163,0492743,0492743,18849570
"Nov 21, 2024",0431179,0459347,0418905,0452475,0452475,10363461
"Nov 20, 2024",0432971,0462539,0422305,0431177,0431177,17314072
"Nov 19, 2024",0454328,0455508,0425087,0432971,0432971,14293289
"Nov 18, 2024",0398674,0469712,0396648,0454328,0454328,14671583
"Nov 17, 2024",0425665,0439897,0392471,0398674,0398674,15553035
"Nov 16, 2024",0371281,0437093,0370262,0425640,0425640,24089503
"Nov 15, 2024",0358138,0374275,0350290,0371104,0371104,13121965
"Nov 14, 2024",0375585,0381709,0355563,0358144,0358144,13033067
"Nov 13, 2024",0400871,0402357,0362023,0375585,0375585,16745070
"Nov 12, 2024",0425182,0444605,0381462,0400905,0400905,44302196
"Nov 11, 2024",0406954,0425632,0398793,0425182,0425182,38328960
"Nov 10, 2024",0385716,0424401,0381885,0406954,0406954,44209835
"Nov 9, 2024",0392618,0395950,0375127,0385716,0385716,21393513
"Nov 8, 2024",0344251,0405223,0340225,0392618,0392618,34392947
"Nov 7, 2024",0333900,0350602,0331635,0344250,0344250,21974547
"Nov 6, 2024",0303879,0336096,0303491,0333900,0333900,18026241
"Nov 5, 2024",0291580,0307191,0291129,0303879,0303879,6762197
"Nov 4, 2024",0300819,0303202,0286312,0291580,0291580,8039566
"Nov 3, 2024",0313558,0314054,0295481,0300819,0300819,5904535
"Nov 2, 2024",0318071,0319980,0311646,0313558,0313558,9812155
"Nov 1, 2024",0320657,0324734,0313313,0318071,0318071,12692181
"Oct 31, 2024",0332668,0333235,0316362,0320657,0320657,7606928
"Oct 30, 2024",0334552,0336506,0329941,0332668,0332668,13620154
"Oct 29, 2024",0325445,0337977,0323965,0334552,0334552,15452518
"Oct 28, 2024",0330413,0331023,0313647,0325445,0325445,15298622
"Oct 27, 2024",0328823,0330946,0325472,0330413,0330413,8972142
"Oct 26, 2024",0321525,0329511,0319292,0328823,0328823,12609049
"Oct 25, 2024",0356119,0356224,0313017,0321533,0321533,17630734
"Oct 24, 2024",0354726,0358521,0352254,0356119,0356119,14321766
"Oct 23, 2024",0365919,0365974,0347142,0354490,0354490,14905055
"Oct 22, 2024",0371882,0373493,0363832,0365919,0365919,16413632
"Oct 21, 2024",0384225,0386232,0370179,0371882,0371882,12711944
"Oct 20, 2024",0371593,0384225,0368418,0384225,0384225,9978893
"Oct 19, 2024",0368553,0375690,0368425,0371593,0371593,10091988
"Oct 18, 2024",0364673,0369668,0364539,0368553,0368553,10998894
"Oct 17, 2024",0373246,0374183,0362004,0364673,0364673,12180433
"Oct 16, 2024",0372158,0374531,0370198,0373242,0373242,14408687
"Oct 15, 2024",0376755,0377755,0367807,0372158,0372158,43714197
